,ID,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
164,164,2015-01-07,21:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
165,165,2015-01-07,22:00,Americana - Vila Santa Maria,SP01,MP10,34.0,ug/m3,automatica
166,166,2015-01-07,23:00,Americana - Vila Santa Maria,SP01,MP10,9.0,ug/m3,automatica
167,167,2015-01-07,23:55,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
168,168,2015-01-08,01:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
169,169,2015-01-08,02:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
170,170,2015-01-08,03:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
171,171,2015-01-08,04:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
172,172,2015-01-08,05:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
173,173,2015-01-08,06:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
174,174,2015-01-08,07:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
175,175,2015-01-08,08:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
176,176,2015-01-08,09:00,Americana - Vila Santa Maria,SP01,MP10,17.0,ug/m3,automatica
177,177,2015-01-08,10:00,Americana - Vila Santa Maria,SP01,MP10,5.0,ug/m3,automatica
178,178,2015-01-08,11:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
179,179,2015-01-08,12:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
180,180,2015-01-08,13:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
181,181,2015-01-08,14:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
182,182,2015-01-08,15:00,Americana - Vila Santa Maria,SP01,MP10,23.0,ug/m3,automatica
183,183,2015-01-08,16:00,Americana - Vila Santa Maria,SP01,MP10,26.0,ug/m3,automatica
184,184,2015-01-08,17:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
185,185,2015-01-08,18:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
186,186,2015-01-08,19:00,Americana - Vila Santa Maria,SP01,MP10,99.0,ug/m3,automatica
187,187,2015-01-08,20:00,Americana - Vila Santa Maria,SP01,MP10,32.0,ug/m3,automatica
188,188,2015-01-08,21:00,Americana - Vila Santa Maria,SP01,MP10,12.0,ug/m3,automatica
189,189,2015-01-08,22:00,Americana - Vila Santa Maria,SP01,MP10,18.0,ug/m3,automatica
190,190,2015-01-08,23:00,Americana - Vila Santa Maria,SP01,MP10,37.0,ug/m3,automatica
191,191,2015-01-08,23:55,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
192,192,2015-01-09,01:00,Americana - Vila Santa Maria,SP01,MP10,14.0,ug/m3,automatica
